file,n_rows,t0_ms,t1_ms
Subj_03_MMH_Bim_L_12kg_Trial_2_EMG_data.csv,46050,1601651465158.0,1601651547699.93
Subj_03_MMH_Bim_L_12kg_Trial_3_EMG_data.csv,46200,1601651707071.0,1601651794156.57
Subj_03_MMH_Bim_R_02kg_Trial_1_EMG_data.csv,52050,1601650217269.0,1601650316309.5
Subj_03_MMH_Bim_R_02kg_Trial_2_EMG_data.csv,37050,1601650335210.0,1601650405816.57
Subj_03_MMH_Bim_R_02kg_Trial_3_EMG_data.csv,40500,1601650786881.0,1601650858327.72
Subj_03_MMH_Bim_R_08kg_Trial_1_EMG_data.csv,39450,1601650902325.0,1601650976445.97
Subj_03_MMH_Bim_R_08kg_Trial_2_EMG_data.csv,45600,1601651002778.0,1601651090179.79
Subj_03_MMH_Bim_R_08kg_Trial_3_EMG_data.csv,42150,1601651154431.0,1601651232945.86
Subj_03_MMH_Bim_R_12kg_Trial_1_EMG_data.csv,46050,1601651342005.0,1601651428189.48
Subj_03_MMH_Bim_R_12kg_Trial_2_EMG_data.csv,35821,1601651467218.0,1601651533558.46
Subj_03_MMH_Bim_R_12kg_Trial_3_EMG_data.csv,46500,1601651709328.0,1601651796876.9
Subj_03_MMH_One_L_02kg_Trial_1_EMG_data.csv,39300,1601653374917.0,1601653444045.25
Subj_03_MMH_One_L_02kg_Trial_2_EMG_data.csv,39300,1601653470617.0,1601653542412.51
Subj_03_MMH_One_L_02kg_Trial_3_EMG_data.csv,43050,1601653557567.0,1601653633743.55
Subj_03_MMH_One_L_04kg_Trial_1_EMG_data.csv,38250,1601654098737.0,1601654170229.76
Subj_03_MMH_One_L_04kg_Trial_2_EMG_data.csv,38250,1601654191847.0,1601654263535.86
Subj_03_MMH_One_L_04kg_Trial_3_EMG_data.csv,44250,1601654327500.0,1601654408543.94
Subj_03_MMH_One_R_02kg_Trial_1_EMG_data.csv,46950,1601652921058.0,1601653003883.56
Subj_03_MMH_One_R_02kg_Trial_2_EMG_data.csv,38166,1601653115906.0,1601653182843.83
Subj_03_MMH_One_R_02kg_Trial_3_EMG_data.csv,42600,1601653275806.0,1601653349595.04
Subj_03_MMH_One_R_04kg_Trial_1_EMG_data.csv,46650,1601653770686.0,1601653856296.48
Subj_03_MMH_One_R_04kg_Trial_2_EMG_data.csv,43050,1601653889245.0,1601653968038.54
Subj_03_MMH_One_R_04kg_Trial_3_EMG_data.csv,41400,1601653998490.0,1601654074940.69
Subj_03_MVC_All_L_EMG_data.csv,27600,1601656528485.0,1601656581466.19
Subj_03_MVC_All_R_EMG_data.csv,27600,1601656532033.0,1601656583821.55
Subj_04_Isokin_L_02kg_40bpm_EMG_data.csv,30750,1603818010077.0,1603818075884.06
Subj_04_Isokin_L_02kg_60bpm_EMG_data.csv,28650,1603818114503.0,1603818176410.3
Subj_04_Isokin_L_02kg_80bpm_EMG_data.csv,27000,1603818203093.0,1603818261757.82
Subj_04_Isokin_L_02kg_St_EMG_data.csv,18750,1603817956744.0,1603817995001.85
Subj_04_Isokin_L_04kg_40bpm_EMG_data.csv,31500,1603818664341.0,1603818731268.68
Subj_04_Isokin_L_04kg_60bpm_EMG_data.csv,28200,1603818760964.0,1603818821416.98
Subj_04_Isokin_L_04kg_80bpm_EMG_data.csv,31800,1603818834698.0,1603818901067.54
Subj_04_Isokin_L_04kg_St_EMG_data.csv,18900,1603818612285.0,1603818652334.64
Subj_04_Isokin_R_02kg_40bpm_EMG_data.csv,29250,1603817703447.0,1603817768707.4
Subj_04_Isokin_R_02kg_60bpm_EMG_data.csv,27600,1603817805355.0,1603817865774.98
Subj_04_Isokin_R_02kg_80bpm_EMG_data.csv,28050,1603817883510.0,1603817943463.37
Subj_04_Isokin_R_02kg_St_EMG_data.csv,17400,1603817602509.0,1603817638080.1
Subj_04_Isokin_R_04kg_40bpm_EMG_data.csv,30600,1603818372111.0,1603818437641.87
Subj_04_Isokin_R_04kg_60bpm_EMG_data.csv,29850,1603818452650.0,1603818515933.38
Subj_04_Isokin_R_04kg_80bpm_EMG_data.csv,30000,1603818531919.0,1603818594099.54
Subj_04_Isokin_R_04kg_St_EMG_data.csv,16200,1603818322288.0,1603818357169.64
Subj_04_MMH_Bim_L_02kg_Trial_1_EMG_data.csv,35850,1603814787158.0,1603814871109.08
Subj_04_MMH_Bim_L_02kg_Trial_2_EMG_data.csv,34350,1603814883858.0,1603814963432.62
Subj_04_MMH_Bim_L_02kg_Trial_3_EMG_data.csv,29700,1603814984696.0,1603815057942.9
Subj_04_MMH_Bim_L_08kg_Trial_1_EMG_data.csv,33150,1603815093505.0,1603815171885.88
Subj_04_MMH_Bim_L_08kg_Trial_2_EMG_data.csv,36900,1603815192965.0,1603815280555.08
Subj_04_MMH_Bim_L_08kg_Trial_3_EMG_data.csv,34350,1603815307266.0,1603815389306.1
Subj_04_MMH_Bim_L_12kg_Trial_1_EMG_data.csv,38500,1603815430701.0,1603815519325.77
Subj_04_MMH_Bim_L_12kg_Trial_2_EMG_data.csv,37000,1603815527715.0,1603815613193.89
Subj_04_MMH_Bim_L_12kg_Trial_3_EMG_data.csv,39150,1603815631321.0,1603815721155.34
Subj_04_MMH_Bim_R_02kg_Trial_1_EMG_data.csv,35400,1603814790609.0,1603814873661.83
Subj_04_MMH_Bim_R_02kg_Trial_2_EMG_data.csv,27451,1603814885934.0,1603814953071.23
Subj_04_MMH_Bim_R_02kg_Trial_3_EMG_data.csv,30000,1603814986813.0,1603815061195.29
Subj_04_MMH_Bim_R_08kg_Trial_1_EMG_data.csv,21994,1603815095400.0,1603815145405.08
Subj_04_MMH_Bim_R_08kg_Trial_2_EMG_data.csv,37500,1603815195028.0,1603815282806.42
Subj_04_MMH_Bim_R_08kg_Trial_3_EMG_data.csv,35950,1603815310079.0,1603815396844.58
Subj_04_MMH_Bim_R_12kg_Trial_1_EMG_data.csv,34500,1603815432840.0,1603815512366.26
Subj_04_MMH_Bim_R_12kg_Trial_2_EMG_data.csv,34350,1603815529432.0,1603815608427.99
Subj_04_MMH_Bim_R_12kg_Trial_3_EMG_data.csv,39450,1603815633952.0,1603815723550.16
Subj_04_MMH_One_L_02kg_Trial_1_EMG_data.csv,36000,1603816219747.0,1603816296526.12
Subj_04_MMH_One_L_02kg_Trial_2_EMG_data.csv,21457,1603816325459.0,1603816372116.37
Subj_04_MMH_One_L_02kg_Trial_3_EMG_data.csv,37800,1603816469584.0,1603816551715.62
Subj_04_MMH_One_L_04kg_Trial_1_EMG_data.csv,37750,1603817135724.0,1603817218346.02
Subj_04_MMH_One_L_04kg_Trial_2_EMG_data.csv,32100,1603817239825.0,1603817310378.54
Subj_04_MMH_One_L_04kg_Trial_3_EMG_data.csv,33450,1603817432959.0,1603817505753.04
Subj_04_MMH_One_R_02kg_Trial_1_EMG_data.csv,42400,1603815903352.0,1603815992994.42
Subj_04_MMH_One_R_02kg_Trial_2_EMG_data.csv,33150,1603816035563.0,1603816111912.53
Subj_04_MMH_One_R_02kg_Trial_3_EMG_data.csv,32850,1603816130615.0,1603816200186.55
Subj_04_MMH_One_R_04kg_Trial_1_EMG_data.csv,32400,1603816622730.0,1603816694583.64
Subj_04_MMH_One_R_04kg_Trial_2_EMG_data.csv,33450,1603816714761.0,1603816786991.57
Subj_04_MMH_One_R_04kg_Trial_3_EMG_data.csv,35550,1603816802713.0,1603816876779.2
Subj_04_MVC_All_L_EMG_data.csv,22050,1603818944124.0,1603819000947.55
Subj_04_MVC_All_R_EMG_data.csv,20550,1603818946401.0,1603818998576.2
Subj_05_Isokin_L_02kg_40bpm_EMG_data.csv,29400,1600788067679.0,1600788134716.76
Subj_05_Isokin_L_02kg_60bpm_EMG_data.csv,25200,1600788156672.0,1600788216144.35
Subj_05_Isokin_L_02kg_80bpm_EMG_data.csv,27300,1600788234515.0,1600788295018.01
Subj_05_Isokin_L_02kg_St_EMG_data.csv,19300,1600787961185.0,1600788003868.02
Subj_05_Isokin_L_04kg_40bpm_EMG_data.csv,30450,1600788716196.0,1600788789895.07
Subj_05_Isokin_L_04kg_60bpm_EMG_data.csv,27900,1600788808023.0,1600788873642.86
Subj_05_Isokin_L_04kg_80bpm_EMG_data.csv,27300,1600788893582.0,1600788954551.54
Subj_05_Isokin_L_04kg_St_EMG_data.csv,16950,1600788661902.0,1600788699532.42
Subj_05_Isokin_R_02kg_40bpm_EMG_data.csv,13777,1600787583676.0,1600787613619.29
Subj_05_Isokin_R_02kg_60bpm_EMG_data.csv,30000,1600787707600.0,1600787773794.08
Subj_05_Isokin_R_02kg_80bpm_EMG_data.csv,27900,1600787808715.0,1600787868647.45
Subj_05_Isokin_R_02kg_St_EMG_data.csv,16690,1600787515849.0,1600787552759.56
Subj_05_Isokin_R_04kg_40bpm_EMG_data.csv,30300,1600788406577.0,1600788476354.95
Subj_05_Isokin_R_04kg_60bpm_EMG_data.csv,28198,1600788496441.0,1600788563133.51
Subj_05_Isokin_R_04kg_80bpm_EMG_data.csv,25500,1600788583476.0,1600788642629.2
Subj_05_Isokin_R_04kg_St_EMG_data.csv,16650,1600788354770.0,1600788392762.73
Subj_05_MMH_Bim_L_02kg_Trial_1_EMG_data.csv,41700,1600783993717.0,1600784094839.11
Subj_05_MMH_Bim_L_02kg_Trial_2_EMG_data.csv,34950,1600784118281.0,1600784202419.69
Subj_05_MMH_Bim_L_02kg_Trial_3_EMG_data.csv,33000,1600784216896.0,1600784296195.11
Subj_05_MMH_Bim_L_08kg_Trial_1_EMG_data.csv,35400,1600784371004.0,1600784458352.07
Subj_05_MMH_Bim_L_08kg_Trial_2_EMG_data.csv,34950,1600784486065.0,1600784569094.47
Subj_05_MMH_Bim_L_08kg_Trial_3_EMG_data.csv,37050,1600784585892.0,1600784676406.98
Subj_05_MMH_Bim_L_12kg_Trial_1_EMG_data.csv,34350,1600784763049.0,1600784850338.73
Subj_05_MMH_Bim_L_12kg_Trial_2_EMG_data.csv,33600,1600784881951.0,1600784965677.8
Subj_05_MMH_Bim_L_12kg_Trial_3_EMG_data.csv,34800,1600784983933.0,1600785071686.63
Subj_05_MMH_Bim_R_02kg_Trial_1_EMG_data.csv,44250,1600783997213.0,1600784099571.22
Subj_05_MMH_Bim_R_02kg_Trial_2_EMG_data.csv,35250,1600784121276.0,1600784204906.32
Subj_05_MMH_Bim_R_02kg_Trial_3_EMG_data.csv,33600,1600784219000.0,1600784298551.54
Subj_05_MMH_Bim_R_08kg_Trial_1_EMG_data.csv,35250,1600784373540.0,1600784460173.71
Subj_05_MMH_Bim_R_08kg_Trial_2_EMG_data.csv,34950,1600784488575.0,1600784571186.38
Subj_05_MMH_Bim_R_08kg_Trial_3_EMG_data.csv,37650,1600784589302.0,1600784678378.28
Subj_05_MMH_Bim_R_12kg_Trial_1_EMG_data.csv,34650,1600784765421.0,1600784852407.25
